,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
124,"frozenset({'IRASu_MB', 'TminM'})","frozenset({'TmaxMA', 'TM'})",0.25,0.325,0.2,0.8,2.4615384615384617,0.11875000000000001,3.375000000000001
126,"frozenset({'IRASu_MB', 'TM'})","frozenset({'TminM', 'TmaxMA'})",0.25,0.325,0.2,0.8,2.4615384615384617,0.11875000000000001,3.375000000000001
221,"frozenset({'COVIDhB', 'TminM'})","frozenset({'COVIDuB', 'MP10MB'})",0.25,0.325,0.2,0.8,2.4615384615384617,0.11875000000000001,3.375000000000001
223,"frozenset({'TminM', 'COVIDuB'})","frozenset({'COVIDhB', 'MP10MB'})",0.25,0.325,0.2,0.8,2.4615384615384617,0.11875000000000001,3.375000000000001
233,"frozenset({'TM', 'MP10MB'})","frozenset({'TminM', 'TmaxMA'})",0.25,0.325,0.2,0.8,2.4615384615384617,0.11875000000000001,3.375000000000001
232,"frozenset({'TmaxMA', 'MP10MB'})","frozenset({'TminM', 'TM'})",0.25,0.35,0.2,0.8,2.285714285714286,0.11250000000000002,3.250000000000001
16,"frozenset({'IRASu_MB', 'TminM'})",frozenset({'MP10MB'}),0.25,0.4,0.2,0.8,2.0,0.1,3.0000000000000004
50,"frozenset({'TminM', 'COVIDuB'})",frozenset({'MP10MB'}),0.25,0.4,0.2,0.8,2.0,0.1,3.0000000000000004
58,"frozenset({'COVIDhB', 'TminM'})",frozenset({'MP10MB'}),0.25,0.4,0.2,0.8,2.0,0.1,3.0000000000000004
74,"frozenset({'TmaxMA', 'MP10MB'})",frozenset({'TM'}),0.25,0.4,0.2,0.8,2.0,0.1,3.0000000000000004
220,"frozenset({'COVIDhB', 'TminM', 'COVIDuB'})",frozenset({'MP10MB'}),0.25,0.4,0.2,0.8,2.0,0.1,3.0000000000000004
68,frozenset({'TminM'}),"frozenset({'TmaxMA', 'TM'})",0.375,0.325,0.3,0.7999999999999999,2.4615384615384612,0.17812499999999998,3.374999999999999
186,"frozenset({'TM', 'INFu_B'})","frozenset({'TminM', 'MP10MB'})",0.3,0.275,0.225,0.75,2.727272727272727,0.14250000000000002,2.9
44,"frozenset({'TmaxMA', 'COVIDuB'})",frozenset({'RMA'}),0.3,0.3,0.225,0.75,2.5,0.135,2.8
45,frozenset({'RMA'}),"frozenset({'TmaxMA', 'COVIDuB'})",0.3,0.3,0.225,0.75,2.5,0.135,2.8
52,"frozenset({'COVIDhB', 'TmaxMA'})",frozenset({'RMA'}),0.3,0.3,0.225,0.75,2.5,0.135,2.8
53,frozenset({'RMA'}),"frozenset({'COVIDhB', 'TmaxMA'})",0.3,0.3,0.225,0.75,2.5,0.135,2.8
202,"frozenset({'COVIDhB', 'TmaxMA', 'COVIDuB'})",frozenset({'RMA'}),0.3,0.3,0.225,0.75,2.5,0.135,2.8
203,"frozenset({'COVIDhB', 'TmaxMA'})","frozenset({'RMA', 'COVIDuB'})",0.3,0.3,0.225,0.75,2.5,0.135,2.8
204,"frozenset({'COVIDhB', 'RMA'})","frozenset({'TmaxMA', 'COVIDuB'})",0.3,0.3,0.225,0.75,2.5,0.135,2.8
205,"frozenset({'TmaxMA', 'COVIDuB'})","frozenset({'COVIDhB', 'RMA'})",0.3,0.3,0.225,0.75,2.5,0.135,2.8
206,"frozenset({'RMA', 'COVIDuB'})","frozenset({'COVIDhB', 'TmaxMA'})",0.3,0.3,0.225,0.75,2.5,0.135,2.8
